,respondent_id,opinion_seas_risk,doctor_recc_seasonal,opinion_seas_vacc_effective,age_group,health_worker,h1n1_knowledge,behavioral_hands_attention,seasonal_vaccine
0,0,1.0,0.0,2.0,3,0.0,0.0,1.0,0
1,1,2.0,0.0,4.0,1,0.0,2.0,2.0,1
2,2,1.0,0.0,4.0,0,0.0,1.0,0.0,0
3,3,4.0,1.0,5.0,4,0.0,1.0,1.0,1
4,4,1.0,0.0,3.0,2,0.0,1.0,2.0,0
5,5,4.0,1.0,5.0,4,0.0,1.0,2.0,0
6,6,2.0,0.0,4.0,3,0.0,0.0,0.0,0
7,7,2.0,0.0,4.0,2,0.0,0.0,2.0,1
8,8,2.0,0.0,4.0,2,0.0,2.0,2.0,0
9,9,2.0,0.0,4.0,3,0.0,1.0,1.0,0
10,10,4.0,0.0,5.0,2,0.0,1.0,1.0,1
11,11,2.0,0.0,4.0,3,0.0,2.0,1.0,1
12,12,4.0,1.0,5.0,4,0.0,1.0,2.0,1
13,13,2.0,0.0,4.0,1,0.0,1.0,2.0,0
14,14,4.0,0.0,4.0,3,0.0,1.0,2.0,0
15,15,1.0,1.0,2.0,1,0.0,1.0,0.0,0
16,16,4.0,1.0,4.0,4,0.0,1.0,2.0,1
17,17,2.0,1.0,4.0,1,0.0,1.0,2.0,0
18,18,4.0,1.0,5.0,4,0.0,2.0,2.0,0
19,19,2.0,0.0,5.0,3,0.0,2.0,2.0,0
20,20,2.0,1.0,4.0,3,0.0,1.0,2.0,0
21,21,3.0,0.0,3.0,3,0.0,2.0,2.0,1
22,22,1.0,1.0,4.0,2,0.0,1.0,2.0,0
23,23,4.0,0.0,4.0,0,0.0,0.0,2.0,0
24,24,2.0,1.0,1.0,0,0.0,1.0,2.0,0
25,25,4.0,0.0,2.0,2,0.0,2.0,2.0,0
26,26,5.0,1.0,5.0,2,0.0,1.0,1.0,1
27,27,2.0,0.0,2.0,4,0.0,2.0,2.0,0
28,28,1.0,0.0,2.0,3,0.0,1.0,1.0,0
29,29,1.0,1.0,4.0,4,0.0,1.0,1.0,0
30,30,2.0,1.0,4.0,1,0.0,2.0,2.0,0
31,31,1.0,0.0,4.0,0,0.0,1.0,2.0,0
32,32,2.0,0.0,4.0,1,0.0,2.0,2.0,1
33,33,2.0,1.0,5.0,4,0.0,1.0,1.0,0
34,34,2.0,0.0,4.0,0,0.0,1.0,0.0,1
35,35,2.0,1.0,5.0,3,0.0,1.0,2.0,1
36,36,2.0,1.0,4.0,2,0.0,2.0,2.0,1
37,37,1.0,0.0,4.0,2,0.0,1.0,0.0,0
38,38,2.0,1.0,3.0,4,0.0,1.0,2.0,1
39,39,4.0,0.0,5.0,4,0.0,1.0,2.0,1
40,40,2.0,0.0,5.0,2,0.0,2.0,1.0,0
41,41,4.0,0.0,4.0,3,1.0,1.0,2.0,1
42,42,1.0,0.0,3.0,3,0.0,0.0,0.0,0
43,43,4.0,1.0,1.0,0,0.0,1.0,2.0,1
44,44,1.0,0.0,3.0,3,0.0,2.0,1.0,0
45,45,4.0,0.0,4.0,0,0.0,1.0,2.0,0
46,46,1.0,0.0,5.0,3,0.0,2.0,0.0,1
47,47,1.0,0.0,5.0,0,0.0,2.0,1.0,0
48,48,5.0,0.0,5.0,2,0.0,2.0,2.0,1
49,49,4.0,0.0,5.0,0,0.0,1.0,0.0,1
50,50,2.0,0.0,4.0,2,1.0,2.0,1.0,0
51,51,4.0,0.0,5.0,3,0.0,1.0,0.0,1
52,52,2.0,0.0,4.0,2,0.0,1.0,2.0,0
53,53,2.0,0.0,4.0,3,1.0,2.0,0.0,1
54,54,4.0,0.0,4.0,0,0.0,1.0,2.0,0
55,55,2.0,0.0,4.0,3,0.0,1.0,1.0,0
56,56,5.0,0.0,5.0,4,0.0,1.0,2.0,1
57,57,4.0,0.0,4.0,3,0.0,1.0,2.0,1
58,58,2.0,1.0,4.0,2,0.0,2.0,1.0,0
59,59,1.0,1.0,4.0,1,0.0,1.0,2.0,1
60,60,4.0,1.0,4.0,2,1.0,2.0,2.0,1
61,61,5.0,0.0,3.0,2,0.0,2.0,2.0,1
62,62,1.0,0.0,5.0,1,0.0,1.0,2.0,0
63,63,4.0,1.0,4.0,0,0.0,1.0,2.0,1
64,64,2.0,0.0,3.0,2,0.0,0.0,1.0,0
65,65,1.0,0.0,3.0,3,0.0,1.0,2.0,0
66,66,2.0,0.0,4.0,0,0.0,1.0,0.0,0
67,67,4.0,1.0,4.0,1,0.0,2.0,2.0,1
68,68,4.0,1.0,4.0,4,0.0,1.0,1.0,1
69,69,1.0,0.0,5.0,4,0.0,2.0,1.0,0
70,70,2.0,0.0,5.0,0,0.0,1.0,0.0,0
71,71,4.0,1.0,5.0,4,0.0,1.0,2.0,1
72,72,1.0,0.0,4.0,4,0.0,1.0,0.0,1
73,73,5.0,0.0,5.0,4,0.0,2.0,2.0,1
74,74,5.0,1.0,5.0,0,0.0,1.0,1.0,1
75,75,4.0,1.0,5.0,2,0.0,1.0,2.0,1
76,76,4.0,0.0,5.0,3,0.0,1.0,0.0,0
77,77,5.0,1.0,5.0,1,1.0,1.0,0.0,1
78,78,2.0,0.0,5.0,4,0.0,1.0,0.0,1
79,79,5.0,0.0,5.0,4,0.0,1.0,1.0,1
80,80,1.0,0.0,4.0,2,0.0,1.0,1.0,0
81,81,2.0,0.0,5.0,3,0.0,1.0,2.0,1
82,82,4.0,0.0,5.0,0,1.0,2.0,2.0,1
83,83,4.0,1.0,4.0,2,0.0,1.0,2.0,1
84,84,4.0,0.0,5.0,4,1.0,2.0,2.0,1
85,85,4.0,0.0,5.0,3,1.0,1.0,2.0,1
86,86,1.0,0.0,4.0,2,0.0,2.0,0.0,0
87,87,4.0,0.0,4.0,0,0.0,1.0,2.0,0
88,88,1.0,1.0,4.0,4,0.0,0.0,2.0,1
89,89,2.0,0.0,4.0,0,0.0,1.0,0.0,0
90,90,2.0,0.0,3.0,0,1.0,1.0,2.0,1
91,91,4.0,1.0,5.0,0,0.0,2.0,2.0,1
92,92,1.0,0.0,4.0,0,0.0,1.0,0.0,0
93,93,4.0,0.0,5.0,0,0.0,1.0,2.0,1
94,94,5.0,0.0,5.0,1,0.0,0.0,2.0,0
95,95,2.0,1.0,5.0,0,0.0,2.0,2.0,0
96,96,5.0,1.0,5.0,4,0.0,1.0,1.0,1
97,97,4.0,0.0,5.0,2,0.0,2.0,2.0,1
98,98,2.0,0.0,2.0,0,1.0,1.0,0.0,0
99,99,1.0,0.0,5.0,4,0.0,0.0,2.0,1
100,100,3.0,1.0,2.0,0,0.0,1.0,2.0,0
101,101,5.0,1.0,1.0,2,1.0,2.0,2.0,1
102,102,2.0,0.0,5.0,4,0.0,2.0,1.0,1
103,103,1.0,1.0,4.0,2,0.0,1.0,1.0,0
104,104,3.0,0.0,2.0,4,0.0,0.0,2.0,0
105,105,2.0,0.0,5.0,1,0.0,1.0,2.0,0
106,106,1.0,0.0,4.0,0,0.0,2.0,2.0,0
107,107,4.0,0.0,5.0,2,0.0,1.0,1.0,1
108,108,2.0,0.0,2.0,1,0.0,2.0,1.0,0
109,109,1.0,1.0,4.0,4,0.0,1.0,2.0,0
110,110,4.0,1.0,5.0,3,0.0,2.0,2.0,1
111,111,2.0,0.0,4.0,2,0.0,1.0,2.0,0
112,112,4.0,1.0,5.0,3,0.0,2.0,2.0,1
113,113,4.0,0.0,5.0,1,0.0,1.0,1.0,0
114,114,2.0,0.0,4.0,1,1.0,1.0,2.0,1
115,115,4.0,0.0,4.0,4,0.0,0.0,2.0,0
116,116,2.0,0.0,5.0,3,0.0,1.0,2.0,1
117,117,2.0,0.0,5.0,3,0.0,1.0,2.0,0
118,118,2.0,0.0,4.0,2,1.0,2.0,2.0,1
119,119,4.0,0.0,4.0,1,0.0,2.0,2.0,1
120,120,2.0,0.0,4.0,1,0.0,1.0,0.0,0
121,121,2.0,0.0,4.0,3,0.0,1.0,0.0,0
122,122,5.0,1.0,5.0,4,0.0,2.0,0.0,1
123,123,3.0,0.0,5.0,4,0.0,2.0,1.0,1
124,124,1.0,0.0,5.0,0,0.0,1.0,1.0,0
125,125,3.0,1.0,4.0,1,0.0,1.0,2.0,1
126,126,4.0,0.0,4.0,3,0.0,1.0,0.0,0
127,127,5.0,0.0,5.0,2,0.0,2.0,2.0,1
128,128,4.0,1.0,5.0,4,0.0,1.0,2.0,1
129,129,4.0,0.0,4.0,2,0.0,1.0,2.0,0
130,130,4.0,0.0,4.0,3,0.0,1.0,2.0,0
131,131,4.0,1.0,4.0,3,0.0,1.0,2.0,1
132,132,2.0,0.0,5.0,1,0.0,1.0,2.0,0
133,133,4.0,0.0,5.0,4,0.0,1.0,0.0,1
134,134,2.0,0.0,5.0,4,0.0,2.0,2.0,1
135,135,4.0,0.0,5.0,4,0.0,1.0,2.0,1
136,136,4.0,1.0,5.0,4,0.0,1.0,2.0,1
137,137,2.0,0.0,5.0,3,0.0,1.0,1.0,0
138,138,2.0,0.0,4.0,4,0.0,2.0,2.0,1
139,139,1.0,0.0,1.0,0,0.0,0.0,2.0,0
140,140,4.0,0.0,5.0,3,0.0,2.0,2.0,1
141,141,1.0,0.0,4.0,3,1.0,2.0,1.0,0
142,142,2.0,0.0,4.0,3,0.0,1.0,2.0,0
143,143,4.0,0.0,4.0,1,0.0,1.0,1.0,0
144,144,4.0,0.0,4.0,2,0.0,1.0,1.0,0
145,145,1.0,0.0,4.0,4,0.0,2.0,1.0,0
146,146,4.0,1.0,5.0,2,0.0,1.0,2.0,1
147,147,5.0,1.0,4.0,4,1.0,1.0,2.0,1
148,148,2.0,0.0,4.0,3,1.0,2.0,1.0,1
149,149,1.0,0.0,4.0,0,0.0,1.0,0.0,0
150,150,2.0,0.0,4.0,1,0.0,1.0,1.0,0
151,151,5.0,0.0,5.0,4,0.0,2.0,2.0,1
152,152,4.0,0.0,4.0,2,0.0,1.0,2.0,1
153,153,4.0,0.0,5.0,2,0.0,1.0,1.0,1
154,154,1.0,1.0,2.0,4,0.0,0.0,1.0,0
155,155,4.0,0.0,5.0,1,0.0,1.0,2.0,1
156,156,2.0,0.0,4.0,2,0.0,2.0,2.0,0
157,157,2.0,0.0,4.0,2,0.0,1.0,0.0,0
158,158,2.0,0.0,4.0,3,1.0,2.0,2.0,1
159,159,4.0,0.0,4.0,0,1.0,1.0,2.0,1
160,160,4.0,1.0,4.0,4,0.0,2.0,2.0,1
161,161,1.0,0.0,4.0,1,0.0,1.0,2.0,0
162,162,1.0,0.0,4.0,1,0.0,1.0,1.0,0
163,163,2.0,0.0,4.0,0,0.0,1.0,1.0,0
164,164,2.0,0.0,4.0,4,0.0,1.0,2.0,1
165,165,2.0,1.0,5.0,1,0.0,1.0,2.0,0
166,166,2.0,1.0,2.0,1,1.0,1.0,2.0,0
167,167,1.0,0.0,5.0,3,0.0,1.0,2.0,1
168,168,5.0,0.0,5.0,2,1.0,2.0,2.0,1
169,169,4.0,0.0,4.0,3,0.0,1.0,2.0,0
170,170,4.0,0.0,4.0,0,0.0,0.0,1.0,0
171,171,2.0,0.0,4.0,1,1.0,1.0,2.0,1
172,172,4.0,1.0,5.0,3,0.0,2.0,2.0,1
173,173,1.0,0.0,5.0,0,0.0,0.0,1.0,0
174,174,1.0,1.0,4.0,0,0.0,1.0,1.0,0
175,175,1.0,0.0,3.0,4,0.0,1.0,2.0,1
176,176,1.0,0.0,4.0,0,0.0,1.0,0.0,0
177,177,4.0,0.0,5.0,0,0.0,2.0,2.0,1
178,178,4.0,0.0,5.0,1,0.0,0.0,1.0,0
179,179,2.0,0.0,4.0,1,0.0,2.0,2.0,0
180,180,1.0,0.0,2.0,2,0.0,0.0,0.0,0
181,181,5.0,0.0,5.0,2,0.0,1.0,2.0,0
182,182,2.0,0.0,4.0,4,0.0,1.0,2.0,0
183,183,1.0,0.0,2.0,1,0.0,0.0,1.0,0
184,184,1.0,0.0,4.0,2,0.0,1.0,0.0,0
185,185,4.0,0.0,5.0,4,0.0,1.0,1.0,1
186,186,2.0,0.0,4.0,2,0.0,1.0,2.0,0
187,187,1.0,0.0,2.0,4,0.0,1.0,1.0,0
188,188,4.0,0.0,4.0,3,0.0,1.0,2.0,0
189,189,5.0,1.0,4.0,3,0.0,1.0,2.0,1
190,190,2.0,0.0,5.0,0,0.0,2.0,2.0,0
191,191,2.0,0.0,4.0,2,0.0,2.0,2.0,0
192,192,5.0,0.0,5.0,0,0.0,1.0,2.0,1
193,193,5.0,0.0,5.0,0,0.0,1.0,2.0,1
194,194,2.0,0.0,4.0,3,0.0,1.0,2.0,0
195,195,4.0,1.0,4.0,3,0.0,2.0,2.0,1
196,196,1.0,0.0,5.0,3,1.0,1.0,2.0,1
197,197,2.0,0.0,4.0,0,0.0,1.0,2.0,0
198,198,1.0,1.0,1.0,3,0.0,2.0,2.0,1
199,199,1.0,1.0,4.0,0,0.0,2.0,0.0,1
200,200,2.0,1.0,4.0,0,0.0,2.0,1.0,0
201,201,4.0,0.0,4.0,0,0.0,1.0,2.0,0
202,202,2.0,0.0,5.0,0,0.0,1.0,1.0,0
203,203,2.0,0.0,4.0,0,0.0,1.0,2.0,1
204,204,4.0,0.0,4.0,2,0.0,2.0,2.0,1
205,205,2.0,0.0,5.0,1,0.0,1.0,1.0,0
206,206,2.0,0.0,4.0,0,0.0,2.0,2.0,0
207,207,5.0,1.0,5.0,3,0.0,1.0,2.0,1
208,208,2.0,1.0,4.0,4,0.0,1.0,2.0,1
209,209,4.0,0.0,5.0,3,0.0,2.0,0.0,1
210,210,4.0,0.0,5.0,2,0.0,1.0,1.0,0
211,211,1.0,1.0,1.0,1,0.0,1.0,0.0,1
212,212,4.0,1.0,5.0,3,1.0,1.0,2.0,1
213,213,4.0,0.0,4.0,0,1.0,2.0,1.0,1
214,214,4.0,0.0,4.0,0,0.0,2.0,2.0,0
215,215,4.0,1.0,5.0,4,0.0,1.0,2.0,1
216,216,2.0,0.0,5.0,1,0.0,1.0,2.0,1
217,217,1.0,0.0,4.0,0,0.0,1.0,2.0,0
218,218,4.0,1.0,5.0,4,0.0,1.0,2.0,1
219,219,4.0,0.0,5.0,2,0.0,1.0,0.0,1
